Minutes5UTC,Minutes5DK,PriceArea,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeNorway,ExchangeSweden,BornholmSE4
2023-06-09T01:50:00,2023-06-09T03:50:00,DK1,227.110001,180.110001,86.139999,25.889999,0.36,321.940002,-411.329987,20.98,802.419983,715.0,
2023-06-09T01:50:00,2023-06-09T03:50:00,DK2,100.879997,235.800003,79.129997,72.919998,3.09,-321.940002,-306.940002,,,1136.550049,6.96
2023-06-09T01:45:00,2023-06-09T03:45:00,DK1,227.619995,181.509995,73.589996,23.5,0.37,311.899994,-398.140015,20.98,802.119995,715.0,
2023-06-09T01:45:00,2023-06-09T03:45:00,DK2,101.129997,235.800003,77.419998,76.919998,3.08,-311.899994,-304.059998,,,1129.01001,7.06
2023-06-09T01:40:00,2023-06-09T03:40:00,DK1,227.630005,188.929993,76.720001,26.08,0.38,311.899994,-391.119995,20.98,802.460022,715.0,
2023-06-09T01:40:00,2023-06-09T03:40:00,DK2,101.809998,233.960007,78.419998,80.949997,3.08,-311.899994,-305.859985,,,1124.569946,7.09
2023-06-09T01:35:00,2023-06-09T03:35:00,DK1,226.089996,190.190002,67.550003,29.120001,0.34,311.899994,-373.470001,20.98,802.280029,715.0,
2023-06-09T01:35:00,2023-06-09T03:35:00,DK2,102.919998,235.740005,73.839996,80.43,3.08,-311.899994,-304.399994,,,1123.949951,6.62
2023-06-09T01:30:00,2023-06-09T03:30:00,DK1,228.630005,195.570007,62.779999,30.42,0.45,311.899994,-380.279999,20.98,802.419983,715.0,
2023-06-09T01:30:00,2023-06-09T03:30:00,DK2,102.669998,235.740005,71.230003,79.18,3.12,-311.899994,-303.309998,,,1135.52002,6.34
2023-06-09T01:25:00,2023-06-09T03:25:00,DK1,229.520004,197.809998,55.580002,32.369999,0.41,311.899994,-387.48999,20.98,802.700012,715.0,
2023-06-09T01:25:00,2023-06-09T03:25:00,DK2,104.18,237.539993,71.540001,79.089996,3.12,-311.899994,-304.279999,,,1133.810059,6.07
2023-06-09T01:20:00,2023-06-09T03:20:00,DK1,228.860001,209.190002,48.060001,34.34,0.43,311.899994,-388.480011,20.98,802.409973,715.0,
2023-06-09T01:20:00,2023-06-09T03:20:00,DK2,103.370003,239.350006,63.189999,81.160004,3.09,-311.899994,-305.589996,,,1142.219971,5.8
2023-06-09T01:15:00,2023-06-09T03:15:00,DK1,230.960007,213.220001,57.060001,37.189999,0.36,311.899994,-395.51001,20.98,802.119995,715.0,
2023-06-09T01:15:00,2023-06-09T03:15:00,DK2,105.440002,243.009995,55.650002,78.809998,3.08,-311.899994,-305.730011,,,1151.579956,6.75
2023-06-09T01:10:00,2023-06-09T03:10:00,DK1,230.669998,209.179993,57.709999,38.209999,0.44,291.890015,-376.980011,20.98,802.48999,715.0,
2023-06-09T01:10:00,2023-06-09T03:10:00,DK2,105.559998,241.220001,48.900002,73.349998,3.09,-291.890015,-306.369995,,,1138.290039,6.0
2023-06-09T01:05:00,2023-06-09T03:05:00,DK1,231.580002,197.600006,60.330002,38.880001,0.43,271.720001,-356.700012,20.98,802.289978,715.0,
2023-06-09T01:05:00,2023-06-09T03:05:00,DK2,101.870003,243.070007,38.349998,73.769997,3.09,-271.720001,-304.390015,,,1133.290039,4.91
2023-06-09T01:00:00,2023-06-09T03:00:00,DK1,232.440002,190.929993,58.439999,36.75,0.42,258.390015,-371.769989,48.290001,802.440002,715.0,
2023-06-09T01:00:00,2023-06-09T03:00:00,DK2,101.220001,237.339996,35.419998,70.389999,3.13,-258.390015,-339.429993,,,1161.01001,3.95
2023-06-09T00:55:00,2023-06-09T02:55:00,DK1,229.779999,191.179993,60.459999,36.599998,0.42,239.610001,-366.609985,71.550003,802.070007,715.0,
2023-06-09T00:55:00,2023-06-09T02:55:00,DK2,103.099998,242.869995,36.959999,72.559998,3.09,-239.610001,-373.109985,,,1172.069946,4.19
2023-06-09T00:50:00,2023-06-09T02:50:00,DK1,229.649994,192.660004,62.57,34.830002,0.44,221.880005,-352.440002,71.550003,802.140015,715.0,
2023-06-09T00:50:00,2023-06-09T02:50:00,DK2,102.709999,242.800003,37.049999,71.239998,3.09,-221.880005,-374.920013,,,1170.599976,4.77
2023-06-09T00:45:00,2023-06-09T02:45:00,DK1,231.580002,192.330002,64.860001,35.950001,0.43,204.380005,-319.959991,71.550003,802.049988,715.0,
2023-06-09T00:45:00,2023-06-09T02:45:00,DK2,101.480003,241.080002,39.029999,72.150002,3.09,-204.380005,-374.269989,,,1142.280029,4.87
2023-06-09T00:40:00,2023-06-09T02:40:00,DK1,231.399994,186.449997,68.07,36.580002,0.41,204.380005,-320.899994,71.550003,802.349976,714.0,
2023-06-09T00:40:00,2023-06-09T02:40:00,DK2,102.480003,241.080002,36.099998,73.139999,3.09,-204.380005,-371.970001,,,1142.619995,4.53
2023-06-09T00:35:00,2023-06-09T02:35:00,DK1,232.039993,191.919998,65.709999,37.380001,0.45,204.380005,-318.799988,71.550003,802.52002,714.0,
2023-06-09T00:35:00,2023-06-09T02:35:00,DK2,104.150002,241.080002,32.689999,69.839996,3.1,-204.380005,-372.690002,,,1159.640015,4.43
2023-06-09T00:30:00,2023-06-09T02:30:00,DK1,231.470001,186.380005,65.059998,37.779999,0.45,204.570007,-299.820007,71.550003,802.320007,715.0,
2023-06-09T00:30:00,2023-06-09T02:30:00,DK2,103.449997,244.639999,31.42,63.0,3.13,-204.570007,-373.109985,,,1153.140015,4.91
2023-06-09T00:25:00,2023-06-09T02:25:00,DK1,233.380005,199.619995,61.09,36.32,0.44,204.610001,-302.690002,71.550003,802.02002,715.0,
2023-06-09T00:25:00,2023-06-09T02:25:00,DK2,102.68,244.639999,29.879999,57.689999,3.12,-204.610001,-371.540009,,,1164.300049,6.07
2023-06-09T00:20:00,2023-06-09T02:20:00,DK1,231.160004,225.360001,66.68,37.540001,0.43,203.570007,-325.950012,71.550003,802.22998,715.0,
2023-06-09T00:20:00,2023-06-09T02:20:00,DK2,102.900002,244.639999,28.27,52.650002,3.13,-203.570007,-373.190002,,,1163.72998,7.47
2023-06-09T00:15:00,2023-06-09T02:15:00,DK1,232.179993,254.75,69.970001,41.93,0.44,204.429993,-362.140015,71.550003,802.359985,715.0,
2023-06-09T00:15:00,2023-06-09T02:15:00,DK2,102.080002,246.690002,27.389999,48.509998,3.09,-204.429993,-373.390015,,,1178.219971,9.28
2023-06-09T00:10:00,2023-06-09T02:10:00,DK1,229.970001,234.300003,63.650002,40.720001,0.44,190.630005,-305.040009,71.550003,802.119995,715.0,
2023-06-09T00:10:00,2023-06-09T02:10:00,DK2,102.849998,244.919998,25.43,47.220001,3.1,-190.630005,-373.799988,,,1176.880005,11.61
2023-06-09T00:05:00,2023-06-09T02:05:00,DK1,231.729996,201.320007,66.800003,43.52,0.45,181.369995,-267.790009,69.160004,802.219971,715.0,
2023-06-09T00:05:00,2023-06-09T02:05:00,DK2,102.830002,244.839996,25.309999,47.650002,3.09,-181.369995,-371.040009,,,1165.0,12.77
2023-06-09T00:00:00,2023-06-09T02:00:00,DK1,230.919998,201.550003,64.940002,47.509998,0.42,168.820007,-228.729996,-0.46,802.450012,715.0,
2023-06-09T00:00:00,2023-06-09T02:00:00,DK2,102.599998,239.259995,19.629999,45.830002,3.09,-168.820007,-348.950012,,,1136.449951,12.84
2023-06-08T23:55:00,2023-06-09T01:55:00,DK1,229.809998,200.910004,60.900002,49.509998,0.43,156.229996,-132.559998,-66.349998,802.299988,715.0,
2023-06-08T23:55:00,2023-06-09T01:55:00,DK2,101.800003,239.380005,15.45,47.689999,3.1,-156.229996,-319.630005,,,1107.339966,14.1
2023-06-08T23:50:00,2023-06-09T01:50:00,DK1,229.360001,203.509995,61.369999,46.009998,0.45,145.910004,-127.839996,-66.349998,802.5,715.0,
